state,$default,$end,'(',')',"','",';','?','{','}',AS,AT,BLUEPRINT,CONSTRUCT,DIVIDE,DROP,EAST,EAST_SCAN,ELSE,EMPTY,EQ_OP,FALSE,GO,GRID,IDENTIFIER,IF,INTEGER,MINUS,MODULO,MULTIPLY,NE_OP,NORTH,NORTH_SCAN,OBSTACLE,PICK,PLUS,REPEAT,SCAN,SOUTH,SOUTH_SCAN,SPAWN,THEN,TRUE,TURN,UMINUS,WEST,WEST_SCAN,error
77,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,r40,,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40
78,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,,r41,,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41,r41
79,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,r42,,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42
80,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,r43,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43
81,,,,s90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,s91,,,,,,,,,,s92,,,,,,,,,,,,,,,,,
83,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,,r35,,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35
84,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,,r33,,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33
85,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,,r26,,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26,r26
86,,,s16,,,,,,,,,,,,,,,,,,,,,,,s15,s14,,,,,,,,,,,,,,,,,,,,
